# =========================================================================
# Welcome to GRAMPA -- Gene tree reconciliations with MUL-trees.
# Version 1.3.1 released on April 30, 2021
# GRAMPA was developed by Gregg Thomas, S. Hussain Ather, and Matthew Hahn
# Citation:      https://doi.org/10.1093/sysbio/syx044
# Website:       https://gwct.github.io/grampa/
# Report issues: https://github.com/gwct/grampa
#
# The date and time at the start is: 01.25.2023 | 21:50:18
# The program was called as: grampa.py -s /n/holylfs05/LABS/informatics/Users/gthomas/spiders/tree/16spec/astral-pro-tree//chelicerate-16spec-astral-pro.rooted.tre -g /n/holylfs05/LABS/informatics/Users/gthomas/spiders/tree/16spec/astral-pro-tree//loci-rearrange-90.rooted.treefile -o /n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa//16spec/astral-pro-bs90-full/ -c 15 -p 30
#
# 01.25.2023 | 21:50:18 INFO: Number of processes:...................................30
# 01.25.2023 | 21:50:19 INFO: The input species tree with internal nodes labeled.....((BMORI,DMELA)<1>,(((VDEST,MOCCI)<2>,ISCAP)<3>,((SSCAB,TURTI)<4>,((LPOLY,CROTU)<5>,(((((TANTI,NCLAV)<6>,(PTEPI,LHESP)<7>)<8>,SMIMO)<9>,LRECL)<10>,CSCUL)<11>)<12>)<13>)<14>)<15>
# 01.25.2023 | 21:50:19 INFO: Input species tree is..................................Singly-labeled
# 01.25.2023 | 21:50:19 INFO: No H1 node defined.....................................Searching all possible H1 nodes.
# 01.25.2023 | 21:50:19 INFO: No H2 node defined.....................................Searching all possible H2 nodes.
# 01.25.2023 | 21:50:19 INFO: Using gene trees in file.............................../n/holylfs05/LABS/informatics/Users/gthomas/spiders/tree/16spec/astral-pro-tree//loci-rearrange-90.rooted.treefile
# 01.25.2023 | 21:50:19 INFO: Total gene trees.......................................5614
# 01.25.2023 | 21:50:19 INFO: Main results and logs will be written to file........../n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/16spec/astral-pro-bs90-full/grampa_out.txt
# 01.25.2023 | 21:50:19 INFO: The number of groups for each tree will be calculated../n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/16spec/astral-pro-bs90-full/grampa_checknums.txt
# 01.25.2023 | 21:50:19 INFO: Filtered trees will be saved (if necessary)............/n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/16spec/astral-pro-bs90-full/grampa_trees_filtered.txt
# 01.25.2023 | 21:50:19 INFO: Filtering gene trees with # of polyploid groups over...15
# 01.25.2023 | 21:50:19 INFO: Detailed results will be written to file.............../n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/16spec/astral-pro-bs90-full/grampa_det.txt
# 01.25.2023 | 21:50:19 INFO: Detailed output will contain...........................Reconciliation scores only
# 01.25.2023 | 21:53:06 INFO: Filtered gene trees:...................................5
# 01.25.2023 | 21:53:06 INFO: Final gene tree count for reconciliations:.............5609
# ----------------------------------------
Tree	H1 node	H2 node	Tree string	Total score
MT-33	DMELA	DMELA	((BMORI,(DMELA+,DMELA*)<1>)<2>,(((VDEST,MOCCI)<3>,ISCAP)<4>,((SSCAB,TURTI)<5>,((LPOLY,CROTU)<6>,(((((TANTI,NCLAV)<7>,(PTEPI,LHESP)<8>)<9>,SMIMO)<10>,LRECL)<11>,CSCUL)<12>)<13>)<14>)<15>)<16>	44832
MT-34	DMELA	VDEST	((BMORI,DMELA+)<1>,((((VDEST,DMELA*)<2>,MOCCI)<3>,ISCAP)<4>,((SSCAB,TURTI)<5>,((LPOLY,CROTU)<6>,(((((TANTI,NCLAV)<7>,(PTEPI,LHESP)<8>)<9>,SMIMO)<10>,LRECL)<11>,CSCUL)<12>)<13>)<14>)<15>)<16>	44265
MT-35	DMELA	MOCCI	((BMORI,DMELA+)<1>,(((VDEST,(MOCCI,DMELA*)<2>)<3>,ISCAP)<4>,((SSCAB,TURTI)<5>,((LPOLY,CROTU)<6>,(((((TANTI,NCLAV)<7>,(PTEPI,LHESP)<8>)<9>,SMIMO)<10>,LRECL)<11>,CSCUL)<12>)<13>)<14>)<15>)<16>	44345
MT-36	DMELA	ISCAP	((BMORI,DMELA+)<1>,(((VDEST,MOCCI)<2>,(ISCAP,DMELA*)<3>)<4>,((SSCAB,TURTI)<5>,((LPOLY,CROTU)<6>,(((((TANTI,NCLAV)<7>,(PTEPI,LHESP)<8>)<9>,SMIMO)<10>,LRECL)<11>,CSCUL)<12>)<13>)<14>)<15>)<16>	43642
MT-37	DMELA	SSCAB	((BMORI,DMELA+)<1>,(((VDEST,MOCCI)<2>,ISCAP)<3>,(((SSCAB,DMELA*)<4>,TURTI)<5>,((LPOLY,CROTU)<6>,(((((TANTI,NCLAV)<7>,(PTEPI,LHESP)<8>)<9>,SMIMO)<10>,LRECL)<11>,CSCUL)<12>)<13>)<14>)<15>)<16>	43174
MT-38	DMELA	TURTI	((BMORI,DMELA+)<1>,(((VDEST,MOCCI)<2>,ISCAP)<3>,((SSCAB,(TURTI,DMELA*)<4>)<5>,((LPOLY,CROTU)<6>,(((((TANTI,NCLAV)<7>,(PTEPI,LHESP)<8>)<9>,SMIMO)<10>,LRECL)<11>,CSCUL)<12>)<13>)<14>)<15>)<16>	43934
MT-39	DMELA	LPOLY	((BMORI,DMELA+)<1>,(((VDEST,MOCCI)<2>,ISCAP)<3>,((SSCAB,TURTI)<4>,(((LPOLY,DMELA*)<5>,CROTU)<6>,(((((TANTI,NCLAV)<7>,(PTEPI,LHESP)<8>)<9>,SMIMO)<10>,LRECL)<11>,CSCUL)<12>)<13>)<14>)<15>)<16>	46379
MT-40	DMELA	CROTU	((BMORI,DMELA+)<1>,(((VDEST,MOCCI)<2>,ISCAP)<3>,((SSCAB,TURTI)<4>,((LPOLY,(CROTU,DMELA*)<5>)<6>,(((((TANTI,NCLAV)<7>,(PTEPI,LHESP)<8>)<9>,SMIMO)<10>,LRECL)<11>,CSCUL)<12>)<13>)<14>)<15>)<16>	46525
MT-41	DMELA	TANTI	((BMORI,DMELA+)<1>,(((VDEST,MOCCI)<2>,ISCAP)<3>,((SSCAB,TURTI)<4>,((LPOLY,CROTU)<5>,((((((TANTI,DMELA*)<6>,NCLAV)<7>,(PTEPI,LHESP)<8>)<9>,SMIMO)<10>,LRECL)<11>,CSCUL)<12>)<13>)<14>)<15>)<16>	45494
MT-42	DMELA	NCLAV	((BMORI,DMELA+)<1>,(((VDEST,MOCCI)<2>,ISCAP)<3>,((SSCAB,TURTI)<4>,((LPOLY,CROTU)<5>,(((((TANTI,(NCLAV,DMELA*)<6>)<7>,(PTEPI,LHESP)<8>)<9>,SMIMO)<10>,LRECL)<11>,CSCUL)<12>)<13>)<14>)<15>)<16>	42417
